head_id,relation_id,tail_id
1399363,63,1399362
52092,13,365972
320226,6,84682
2961,6,2957
374548,13,372103
843178,63,843122
1690717,13,1690471
144318,7,271808
1808467,40,1046514
1806158,40,1806149
4700,13,134460
222938,35,1965574
1948937,40,2059682
1429680,13,501801
2028707,13,2016803
92826,42,1160213
2119959,7,2120167
863385,13,863386
1511000,13,1511005
1405389,13,1401871
1916587,7,809206
1769051,40,2058430
14549,41,1666799
12529,40,539256
648753,13,648292
17413,42,871133
383726,13,370932
598854,88,155949
47173,21,1142
1677785,170,17320
4991,16,1254108
377377,13,500765
1152467,13,360747
571876,6,14814
4787,63,842175
7576,40,1781999
639680,7,417404
375585,13,498925
15735,42,178755
2008183,41,1865537
2183430,13,787950
395472,54,194156
1353326,16,1260689
1912617,7,1269389
11547,42,71851
821822,13,852907
2038380,88,314900
1266,42,261289
165414,65,288
9432,41,907
2028709,13,1826834
275464,13,1956362
364159,13,370758
484142,7,484143
8175,65,11276
1915842,7,417758
93814,40,447935
10189,106,10188
841074,109,1866507
1899498,13,1823692
88400,46,7455
11215,55,503850
221933,88,108
357124,6,65429
1767376,40,1062527
44694,13,133905
787019,13,787020
319657,13,406470
789803,13,799086
16457,40,934715
32485,35,137533
828212,7,828176
1914583,7,864586
392043,65,288
41864,21,1145
119589,106,3253
162442,109,1512380
620348,170,102616
661647,16,1450180
41020,13,370706
140781,7,2173855
1830143,62,5247
1887852,40,2107488
1869628,63,1278529
6471,35,911758
16765,42,71524
98382,35,115881
4827,13,172149
994,35,979
853056,13,852481
5643,40,2164024
1808467,40,2061272
1887275,63,1656429
700706,13,1852718
398269,62,1058
40886,16,458454
1241060,13,1241061
2027183,7,2027184
321900,6,15522
102077,54,114918
390922,65,979
788731,13,500399
356255,16,2165303
94876,40,965334
1158152,7,864916
102493,6,8260
229945,16,969832
1970559,62,5309
1646368,63,833317
1677684,7,2001635
2153467,7,2152912
1915198,7,487288
47158,48,968034
17223,35,10938
1824285,13,368847
606987,42,76069
1648275,16,2019735
93009,40,1879263
2004302,63,2003793
1931011,13,1917945
1710243,62,47566
1471564,62,109877
1381205,13,780715
1854750,63,1854325
391226,54,53437
35797,16,1069070
161424,106,232498
1756069,63,1775479
7542,40,360129
1690840,21,1232
640265,88,1421016
101141,6,5070
17493,6,65288
2103106,48,1570098
34514,13,501086
115131,54,17502
503879,13,500163
1716640,63,2119534
1923044,62,1453
358133,88,11209
376701,13,371910
9381,40,121218
320764,6,2190
17382,54,396828
